rowNumber,queueId,questionNumber,questionType,questionText,subject,grade,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,explanation,generationMetadata
1,tfat4ru-sdf1x1b-lscda1trg-q1-mcq,Q1,mcq,Choose the correct result for 1/3 ÷ 2.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can divide a unit fraction by a whole number and a whole number by a unit fraction,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can divide a unit fraction by a whole number and a whole number by a unit fraction.","[{""text"":""1/6"",""correct"":true},{""text"":""2/3"",""correct"":false},{""text"":""3/2"",""correct"":false},{""text"":""1/5"",""correct"":false}]","Dividing 1/3 by 2 means splitting 1/3 into 2 equal parts, so each part is 1/6. The other options come from multiplying, inverting incorrectly, or changing the denominator without reason.","{""questionNumber"":""Q1"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can divide a unit fraction by a whole number and a whole number by a unit fraction"",""focus"":""division""}"
2,tfat4ru-sdf1x1b-lscda1trg-q2-mcq,Q2,mcq,Select the true statement about 4 ÷ 1/2.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can divide a unit fraction by a whole number and a whole number by a unit fraction,Understanding,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can divide a unit fraction by a whole number and a whole number by a unit fraction.","[{""text"":""4 ÷ 1/2 = 2"",""correct"":false},{""text"":""4 ÷ 1/2 = 4 1/2"",""correct"":false},{""text"":""4 ÷ 1/2 = 8"",""correct"":true},{""text"":""4 ÷ 1/2 = 1/8"",""correct"":false}]","There are 8 halves in 4 wholes, so 4 ÷ 1/2 = 8. Option A confuses division with multiplication, and the other answers do not match the meaning of how many 1/2 groups fit into 4.","{""questionNumber"":""Q2"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can divide a unit fraction by a whole number and a whole number by a unit fraction"",""focus"":""division""}"
3,tfat4ru-sdf1x1b-lscda1trg-q3-mcq,Q3,mcq,A ribbon piece that is 1/4 metre long is cut into 2 equal parts. Choose the length of each part.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can divide a unit fraction by a whole number and a whole number by a unit fraction,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can divide a unit fraction by a whole number and a whole number by a unit fraction.","[{""text"":""1/8 metre"",""correct"":true},{""text"":""1/2 metre"",""correct"":false},{""text"":""2/4 metre"",""correct"":false},{""text"":""1/6 metre"",""correct"":false}]",Cutting 1/4 metre into 2 equal parts means 1/4 ÷ 2 = 1/8 metre. The incorrect choices are larger than the original piece or use the wrong denominator.,"{""questionNumber"":""Q3"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can divide a unit fraction by a whole number and a whole number by a unit fraction"",""focus"":""division""}"
4,tfat4ru-sdf1x1b-lscda1trg-q4-mcq,Q4,mcq,Which equation correctly shows the result of 1/2 ÷ 2?,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can divide a unit fraction by a whole number and a whole number by a unit fraction,Understanding,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can divide a unit fraction by a whole number and a whole number by a unit fraction.","[{""text"":""1/2 ÷ 2 = 1/2"",""correct"":false},{""text"":""1/2 ÷ 2 = 1/4"",""correct"":true},{""text"":""1/2 ÷ 2 = 2/2"",""correct"":false},{""text"":""1/2 ÷ 2 = 2"",""correct"":false}]","Dividing 1/2 by 2 means splitting 1/2 into 2 equal parts. Each part is 1/4, so 1/2 ÷ 2 = 1/4. The other options are incorrect because the result must be smaller than 1/2, not equal to 1/2, 1, or 2.","{""questionNumber"":""Q4"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can divide a unit fraction by a whole number and a whole number by a unit fraction"",""focus"":""division""}"
5,tfat4ru-sdf1x1b-lscda1trg-q5-mcq,Q5,mcq,Choose the equation that matches the idea '6 wholes split into halves'.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can divide a unit fraction by a whole number and a whole number by a unit fraction,Understanding,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can divide a unit fraction by a whole number and a whole number by a unit fraction.","[{""text"":""6 ÷ 1/2 = 12"",""correct"":true},{""text"":""6 ÷ 1/2 = 3"",""correct"":false},{""text"":""6 ÷ 2 = 12"",""correct"":false},{""text"":""6 × 1/2 = 12"",""correct"":false}]",Splitting 6 wholes into halves asks how many 1/2 pieces are in 6. That is 6 ÷ 1/2 = 12. Option B gives the result of multiplying by 1/2 instead of dividing by 1/2.,"{""questionNumber"":""Q5"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can divide a unit fraction by a whole number and a whole number by a unit fraction"",""focus"":""division""}"
6,tfat4ru-sdf1x1b-lscda1trg-q6-mcq,Q6,mcq,Pick the correct value of 1/5 ÷ 3.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can divide a unit fraction by a whole number and a whole number by a unit fraction,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can divide a unit fraction by a whole number and a whole number by a unit fraction.","[{""text"":""3/5"",""correct"":false},{""text"":""1/15"",""correct"":true},{""text"":""1/8"",""correct"":false},{""text"":""5/3"",""correct"":false}]",Dividing 1/5 by 3 gives 1/15 because the unit fraction is split into 3 equal parts. The other answers come from multiplying or reversing the fraction.,"{""questionNumber"":""Q6"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can divide a unit fraction by a whole number and a whole number by a unit fraction"",""focus"":""division""}"
7,tfat4ru-sdf1x1b-lscda1trg-q7-mcq,Q7,mcq,Choose the sentence that is correct about 7 ÷ 1/7.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can divide a unit fraction by a whole number and a whole number by a unit fraction,Understanding,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can divide a unit fraction by a whole number and a whole number by a unit fraction.","[{""text"":""7 ÷ 1/7 tells how many sevenths are in 7, and the answer is 49."",""correct"":true},{""text"":""7 ÷ 1/7 tells how many sevenths are in 7, and the answer is 14."",""correct"":false},{""text"":""7 ÷ 1/7 means 7 is made of 7 sevenths."",""correct"":false},{""text"":""7 ÷ 1/7 equals 1 because the sevens cancel."",""correct"":false}]","Each whole has 7 sevenths, so 7 wholes have 49 sevenths. That means 7 ÷ 1/7 = 49. The other options undercount or misuse cancellation.","{""questionNumber"":""Q7"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can divide a unit fraction by a whole number and a whole number by a unit fraction"",""focus"":""division""}"
8,tfat4ru-sdf1x1b-lscda1trg-q8-mcq,Q8,mcq,A tray holds 3 sandwiches. Each sandwich is cut into halves. Choose how many 1/2 pieces there are altogether.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can divide a unit fraction by a whole number and a whole number by a unit fraction,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can divide a unit fraction by a whole number and a whole number by a unit fraction.","[{""text"":""1 1/2"",""correct"":false},{""text"":""5"",""correct"":false},{""text"":""6"",""correct"":true},{""text"":""9"",""correct"":false}]","Each of the 3 sandwiches has 2 halves, so there are 3 ÷ 1/2 = 6 half pieces. Option A is the result of multiplying 3 by 1/2, not dividing by 1/2.","{""questionNumber"":""Q8"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can divide a unit fraction by a whole number and a whole number by a unit fraction"",""focus"":""division""}"
9,tfat4ru-sdf1x1b-lscda1trg-q9-mcq,Q9,mcq,Look at the expressions below and choose the correct result for 1/6 ÷ 2.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can divide a unit fraction by a whole number and a whole number by a unit fraction,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can divide a unit fraction by a whole number and a whole number by a unit fraction.","[{""text"":""1/3"",""correct"":false},{""text"":""1/12"",""correct"":true},{""text"":""2/6"",""correct"":false},{""text"":""1/8"",""correct"":false}]","Half of 1/6 is 1/12, so 1/6 ÷ 2 = 1/12. The other answers either make the fraction too large or use the wrong denominator.","{""questionNumber"":""Q9"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can divide a unit fraction by a whole number and a whole number by a unit fraction"",""focus"":""division""}"
10,tfat4ru-sdf1x1b-lscda1trg-q10-mcq,Q10,mcq,How many 1/4 groups are formed from 2 wholes? Choose the correct answer.,Maths,5,Fraction Arithmetic,Dividing Fractions,Students can divide a unit fraction by a whole number and a whole number by a unit fraction,Applying,easy,1,"MCQ for Grade 5 Fraction Arithmetic: Dividing Fractions, aligned to Students can divide a unit fraction by a whole number and a whole number by a unit fraction.","[{""text"":""6"",""correct"":false},{""text"":""8"",""correct"":true},{""text"":""4"",""correct"":false},{""text"":""1/2"",""correct"":false}]","Each whole has 4 one-quarter groups. So 2 wholes have 8 one-quarter groups, meaning 2 ÷ 1/4 = 8. Option C counts only the quarters in 1 whole.","{""questionNumber"":""Q10"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Fraction Arithmetic"",""subtopic"":""Dividing Fractions"",""learning_objective"":""Students can divide a unit fraction by a whole number and a whole number by a unit fraction"",""focus"":""division""}"
