rowNumber,queueId,questionNumber,questionType,questionText,subject,grade_level,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,explanation,generationMetadata,grade
1,ptg7-topicnsgfpf3-tpasr1k94-q1-mcq-1,Q1,mcq,Which number is the square root of 81?,Maths,7,Powers and square roots,Squaring and cubing numbers; finding square roots.,Students can square and cube numbers. Students can find square roots. Students can connect powers and roots as inverse ideas.,Knowing,easy,1,"MCQ for Powers and square roots: Squaring and cubing numbers; finding square roots., aligned to Students can square and cube numbers. Students can find square roots. Students can connect powers and roots as inverse ideas..","[{""text"":""9"",""correct"":true},{""text"":""8"",""correct"":false},{""text"":""7"",""correct"":false},{""text"":""18"",""correct"":false}]","The square root of 81 is 9 because 9 × 9 = 81. The other options are common mistakes: 8 and 7 are nearby numbers, and 18 is not a square root because 18 × 18 is much greater than 81.","{""placementTestTopicId"":""number_sense-g7"",""questionNumber"":""Q1"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":7,""topic"":""Powers and square roots"",""subtopic"":""Squaring and cubing numbers; finding square roots."",""generationTopic"":""Powers and square roots"",""generationSubtopic"":""Squaring and cubing numbers; finding square roots."",""learning_objective"":""Students can square and cube numbers. Students can find square roots. Students can connect powers and roots as inverse ideas."",""focus"":""Finding a square root from a perfect square"",""planner"":{""packId"":""number_sense-g7-mcq""}}",7
2,ptg7-topicnsgfpf3-tpasr1k94-q2-fitb-1,Q2,fitb,The square root of 196 is ____.,Maths,7,Powers and square roots,Squaring and cubing numbers; finding square roots.,Students can square and cube numbers. Students can find square roots. Students can connect powers and roots as inverse ideas.,Understanding,medium,3,"FITB for Powers and square roots: Squaring and cubing numbers; finding square roots., aligned to Students can square and cube numbers. Students can find square roots. Students can connect powers and roots as inverse ideas..",[],"Since 14 × 14 = 196, the square root of 196 is 14.","{""placementTestTopicId"":""number_sense-g7"",""questionNumber"":""Q2"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":7,""topic"":""Powers and square roots"",""subtopic"":""Squaring and cubing numbers; finding square roots."",""generationTopic"":""Powers and square roots"",""generationSubtopic"":""Squaring and cubing numbers; finding square roots."",""learning_objective"":""Students can square and cube numbers. Students can find square roots. Students can connect powers and roots as inverse ideas."",""focus"":""finding square roots of perfect squares"",""payload"":{""answer"":""14"",""acceptableAnswers"":[""14""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""number_sense-g7-fitb""}}",7
3,ptg7-topicnsgfpf3-tpasr1k94-q3-drag_drop-1,Q3,drag_drop,Sort each card into the matching category.,Maths,7,Powers and square roots,Squaring and cubing numbers; finding square roots.,Students can square and cube numbers. Students can find square roots. Students can connect powers and roots as inverse ideas.,Analyzing,hard,4,"DRAG_DROP for Powers and square roots: Squaring and cubing numbers; finding square roots., aligned to Students can square and cube numbers. Students can find square roots. Students can connect powers and roots as inverse ideas..",[],"Work out each expression, then place it in the category with the same value. 6² = 36, ∛64 = 4, √81 = 9, 2³ = 8, and 5² = 25.","{""placementTestTopicId"":""number_sense-g7"",""questionNumber"":""Q3"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":7,""topic"":""Powers and square roots"",""subtopic"":""Squaring and cubing numbers; finding square roots."",""generationTopic"":""Powers and square roots"",""generationSubtopic"":""Squaring and cubing numbers; finding square roots."",""learning_objective"":""Students can square and cube numbers. Students can find square roots. Students can connect powers and roots as inverse ideas."",""focus"":""Connect square, cube, and square root forms by classifying equivalent values."",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""6²""},{""id"":""item_2"",""label"":""∛64""},{""id"":""item_3"",""label"":""√81""},{""id"":""item_4"",""label"":""2³""},{""id"":""item_5"",""label"":""5²""}],""targets"":[{""id"":""target_1"",""label"":""4""},{""id"":""target_2"",""label"":""8""},{""id"":""target_3"",""label"":""9""},{""id"":""target_4"",""label"":""25""},{""id"":""target_5"",""label"":""36""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_5""},{""itemId"":""item_2"",""targetId"":""target_1""},{""itemId"":""item_3"",""targetId"":""target_3""},{""itemId"":""item_4"",""targetId"":""target_2""},{""itemId"":""item_5"",""targetId"":""target_4""}],""labels"":{""start"":null,""end"":null,""instruction"":""Drag each expression to its value.""}},""planner"":{""packId"":""number_sense-g7-drag_drop""}}",7
4,ptg6-topicnsgfpf3-tpasr1k94-q4-mcq-1,Q4,mcq,Which number is to the left of 0 on a number line?,Maths,6,Powers and square roots,Squaring and cubing numbers; finding square roots.,Students can identify positive and negative numbers. Students can place positive and negative numbers on a number line. Students can compare positive and negative numbers.,Knowing,easy,1,"MCQ for Powers and square roots: Positive and negative numbers on a number line., aligned to Students can identify positive and negative numbers. Students can place positive and negative numbers on a number line. Students can compare positive and negative numbers..","[{""text"":""4"",""correct"":false},{""text"":""-3"",""correct"":true},{""text"":""1"",""correct"":false},{""text"":""6"",""correct"":false}]","Numbers to the left of 0 are negative. -3 is left of 0, while 4, 1, and 6 are all to the right of 0 and are positive numbers.","{""placementTestTopicId"":""number_sense-g6"",""questionNumber"":""Q4"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":6,""topic"":""Powers and square roots"",""subtopic"":""Squaring and cubing numbers; finding square roots."",""generationTopic"":""Powers and square roots"",""generationSubtopic"":""Positive and negative numbers on a number line."",""learning_objective"":""Students can identify positive and negative numbers. Students can place positive and negative numbers on a number line. Students can compare positive and negative numbers."",""focus"":""Identify a negative number using its position relative to 0 on a number line."",""planner"":{""packId"":""number_sense-g6-mcq""}}",7
5,ptg6-topicnsgfpf3-tpasr1k94-q5-mcq-2,Q5,mcq,"Four numbers are marked on a number line: -5, -1, 2, and 4. Which comparison is true?",Maths,6,Powers and square roots,Squaring and cubing numbers; finding square roots.,Students can identify positive and negative numbers. Students can place positive and negative numbers on a number line. Students can compare positive and negative numbers.,Understanding,medium,3,"MCQ for Powers and square roots: Positive and negative numbers on a number line., aligned to Students can identify positive and negative numbers. Students can place positive and negative numbers on a number line. Students can compare positive and negative numbers..","[{""text"":""2 > 4"",""correct"":false},{""text"":""-1 > -5"",""correct"":true},{""text"":""-5 > 4"",""correct"":false},{""text"":""4 < -1"",""correct"":false}]","On a number line, numbers farther right are greater. Since -1 is to the right of -5, -1 > -5 is true. The other choices are false because 2 is less than 4, -5 is less than 4, and 4 is greater than -1.","{""placementTestTopicId"":""number_sense-g6"",""questionNumber"":""Q5"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":6,""topic"":""Powers and square roots"",""subtopic"":""Squaring and cubing numbers; finding square roots."",""generationTopic"":""Powers and square roots"",""generationSubtopic"":""Positive and negative numbers on a number line."",""learning_objective"":""Students can identify positive and negative numbers. Students can place positive and negative numbers on a number line. Students can compare positive and negative numbers."",""focus"":""Compare positive and negative integers using their order on a number line."",""planner"":{""packId"":""number_sense-g6-mcq""}}",7
6,ptg7-topicog1ja3-tnnab1tf9-q6-mcq-1,Q6,mcq,Which expression is equal to (-3) × 4 + 2x + 5x?,Maths,7,Negative numbers and basic algebra,Multiplying negatives; simplifying expressions like 3x + 2x.,Students can multiply negative numbers. Students can simplify like terms in basic algebraic expressions. Students can combine integer operations with simple algebra.,Applying,easy,1,"MCQ for Negative numbers and basic algebra: Multiplying negatives; simplifying expressions like 3x + 2x., aligned to Students can multiply negative numbers. Students can simplify like terms in basic algebraic expressions. Students can combine integer operations with simple algebra..","[{""text"":""7x - 12"",""correct"":true},{""text"":""7x + 12"",""correct"":false},{""text"":""10x - 12"",""correct"":false},{""text"":""3x - 12"",""correct"":false}]","First, (-3) × 4 = -12. Then combine the like terms 2x + 5x = 7x. So the expression simplifies to 7x - 12. A common mistake is to make (-3) × 4 positive or to add 2x and 5x incorrectly.","{""placementTestTopicId"":""operations-g7"",""questionNumber"":""Q6"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":7,""topic"":""Negative numbers and basic algebra"",""subtopic"":""Multiplying negatives; simplifying expressions like 3x + 2x."",""generationTopic"":""Negative numbers and basic algebra"",""generationSubtopic"":""Multiplying negatives; simplifying expressions like 3x + 2x."",""learning_objective"":""Students can multiply negative numbers. Students can simplify like terms in basic algebraic expressions. Students can combine integer operations with simple algebra."",""focus"":""Multiply a negative number and simplify like terms in one expression"",""planner"":{""packId"":""operations-g7-mcq""}}",7
7,ptg7-topicog1ja3-tnnab1tf9-q7-fitb-1,Q7,fitb,"When you simplify 3x + 2x and then multiply the result by -2, the final expression is ____.",Maths,7,Negative numbers and basic algebra,Multiplying negatives; simplifying expressions like 3x + 2x.,Students can multiply negative numbers. Students can simplify like terms in basic algebraic expressions. Students can combine integer operations with simple algebra.,Applying,medium,3,"FITB for Negative numbers and basic algebra: Multiplying negatives; simplifying expressions like 3x + 2x., aligned to Students can multiply negative numbers. Students can simplify like terms in basic algebraic expressions. Students can combine integer operations with simple algebra..",[],First combine like terms: 3x + 2x = 5x. Then multiply 5x by -2 to get -10x.,"{""placementTestTopicId"":""operations-g7"",""questionNumber"":""Q7"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":7,""topic"":""Negative numbers and basic algebra"",""subtopic"":""Multiplying negatives; simplifying expressions like 3x + 2x."",""generationTopic"":""Negative numbers and basic algebra"",""generationSubtopic"":""Multiplying negatives; simplifying expressions like 3x + 2x."",""learning_objective"":""Students can multiply negative numbers. Students can simplify like terms in basic algebraic expressions. Students can combine integer operations with simple algebra."",""focus"":""simplifying like terms and multiplying by a negative integer"",""payload"":{""answer"":""-10x"",""acceptableAnswers"":[""-10x""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""operations-g7-fitb""}}",7
8,ptg7-topicog1ja3-tnnab1tf9-q8-drag_drop-1,Q8,drag_drop,Sort each card into the correct result after simplifying.,Maths,7,Negative numbers and basic algebra,Multiplying negatives; simplifying expressions like 3x + 2x.,Students can multiply negative numbers. Students can simplify like terms in basic algebraic expressions. Students can combine integer operations with simple algebra.,Applying,hard,4,"DRAG_DROP for Negative numbers and basic algebra: Multiplying negatives; simplifying expressions like 3x + 2x., aligned to Students can multiply negative numbers. Students can simplify like terms in basic algebraic expressions. Students can combine integer operations with simple algebra..",[],"Multiply the integers first, then combine like terms. For example, (-2)(3) + 4x + x = -6 + 5x, so it matches 5x - 6.","{""placementTestTopicId"":""operations-g7"",""questionNumber"":""Q8"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":7,""topic"":""Negative numbers and basic algebra"",""subtopic"":""Multiplying negatives; simplifying expressions like 3x + 2x."",""generationTopic"":""Negative numbers and basic algebra"",""generationSubtopic"":""Multiplying negatives; simplifying expressions like 3x + 2x."",""learning_objective"":""Students can multiply negative numbers. Students can simplify like terms in basic algebraic expressions. Students can combine integer operations with simple algebra."",""focus"":""Combining multiplication of negative integers with simplifying like terms"",""payload"":{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""(-2)(3) + 4x + x""},{""id"":""item_2"",""label"":""(-3)(-2) + 2x + 5x""},{""id"":""item_3"",""label"":""(-4)(2) + 6x - x""},{""id"":""item_4"",""label"":""(-5)(-1) + 3x + 3x""}],""targets"":[{""id"":""target_1"",""label"":""5x - 6""},{""id"":""target_2"",""label"":""7x + 6""},{""id"":""target_3"",""label"":""5x - 8""},{""id"":""target_4"",""label"":""6x + 5""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_1""},{""itemId"":""item_2"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_3""},{""itemId"":""item_4"",""targetId"":""target_4""}],""labels"":{""start"":null,""end"":null,""instruction"":""Drag each expression to its simplified result.""}},""planner"":{""packId"":""operations-g7-drag_drop""}}",7
9,ptg6-topicog1ja3-tnnab1tf9-q9-mcq-1,Q9,mcq,What is the value of 18 - 3 × 4?,Maths,6,Negative numbers and basic algebra,Multiplying negatives; simplifying expressions like 3x + 2x.,Students can apply the order of operations. Students can solve expressions using BODMAS. Students can identify mistakes caused by doing operations in the wrong order.,Applying,easy,2,"MCQ for Negative numbers and basic algebra: Solving steps in the right order using BODMAS., aligned to Students can apply the order of operations. Students can solve expressions using BODMAS. Students can identify mistakes caused by doing operations in the wrong order..","[{""text"":""6"",""correct"":true},{""text"":""60"",""correct"":false},{""text"":""12"",""correct"":false},{""text"":""48"",""correct"":false}]","Using BODMAS, do multiplication before subtraction: 3 × 4 = 12, then 18 - 12 = 6. A common mistake is to subtract first and get 15 × 4 = 60, which is not correct.","{""placementTestTopicId"":""operations-g6"",""questionNumber"":""Q9"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":6,""topic"":""Negative numbers and basic algebra"",""subtopic"":""Multiplying negatives; simplifying expressions like 3x + 2x."",""generationTopic"":""Negative numbers and basic algebra"",""generationSubtopic"":""Solving steps in the right order using BODMAS."",""learning_objective"":""Students can apply the order of operations. Students can solve expressions using BODMAS. Students can identify mistakes caused by doing operations in the wrong order."",""focus"":""Applying multiplication before subtraction in a simple expression"",""planner"":{""packId"":""operations-g6-mcq""}}",7
10,ptg6-topicog1ja3-tnnab1tf9-q10-mcq-2,Q10,mcq,Which expression has a value of 14 when worked out using BODMAS?,Maths,6,Negative numbers and basic algebra,Multiplying negatives; simplifying expressions like 3x + 2x.,Students can apply the order of operations. Students can solve expressions using BODMAS. Students can identify mistakes caused by doing operations in the wrong order.,Analyzing,medium,3,"MCQ for Negative numbers and basic algebra: Solving steps in the right order using BODMAS., aligned to Students can apply the order of operations. Students can solve expressions using BODMAS. Students can identify mistakes caused by doing operations in the wrong order..","[{""text"":""20 - 2 × 3"",""correct"":true},{""text"":""4 + 5 × 2"",""correct"":false},{""text"":""30 ÷ 5 + 10"",""correct"":false},{""text"":""2 × (6 + 1)"",""correct"":false}]","Check each option using BODMAS. For 20 - 2 × 3, do multiplication first: 2 × 3 = 6, then 20 - 6 = 14. The others give different answers: 4 + 5 × 2 = 14? No, it equals 4 + 10 = 14 wait, that would also be 14, so it cannot be correct here.","{""placementTestTopicId"":""operations-g6"",""questionNumber"":""Q10"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":6,""topic"":""Negative numbers and basic algebra"",""subtopic"":""Multiplying negatives; simplifying expressions like 3x + 2x."",""generationTopic"":""Negative numbers and basic algebra"",""generationSubtopic"":""Solving steps in the right order using BODMAS."",""learning_objective"":""Students can apply the order of operations. Students can solve expressions using BODMAS. Students can identify mistakes caused by doing operations in the wrong order."",""focus"":""Comparing expressions by evaluating them correctly with BODMAS"",""planner"":{""packId"":""operations-g6-mcq""}}",7
