rowNumber,queueId,questionNumber,questionType,questionText,subject,grade,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,explanation,generationMetadata
1,tddi6yl9-sbclgs7qx-lscid185c-q1-mcq,Q1,mcq,"Choose the correct result for this line graph about puppy treats eaten from Monday to Friday: 4, 7, 6, 9, 8. On which day did the puppy eat the most treats?",Maths,4,Data Display & Interpretation,Bar Charts & Line Graphs,Students can interpret data and identify trends in a line graph,Understanding,easy,1,"MCQ for Grade 4 Data Display & Interpretation: Bar Charts & Line Graphs, aligned to Students can interpret data and identify trends in a line graph.","[{""text"":""Monday"",""correct"":false},{""text"":""Tuesday"",""correct"":false},{""text"":""Thursday"",""correct"":true},{""text"":""Friday"",""correct"":false}]","Great job looking for the biggest number! The values are 4, 7, 6, 9, 8, and 9 is the most. That happens on Thursday.","{""questionNumber"":""Q1"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Bar Charts & Line Graphs"",""learning_objective"":""Students can interpret data and identify trends in a line graph"",""focus"":""identify the highest value on a line graph""}"
2,tddi6yl9-sbclgs7qx-lscid185c-q2-mcq,Q2,mcq,"Select the true statement about this line graph of toy cars won in a game: Monday 5, Tuesday 8, Wednesday 8, Thursday 6, Friday 10.",Maths,4,Data Display & Interpretation,Bar Charts & Line Graphs,Students can interpret data and identify trends in a line graph,Understanding,easy,1,"MCQ for Grade 4 Data Display & Interpretation: Bar Charts & Line Graphs, aligned to Students can interpret data and identify trends in a line graph.","[{""text"":""The graph goes up from Tuesday to Wednesday."",""correct"":false},{""text"":""The graph stays the same from Tuesday to Wednesday."",""correct"":true},{""text"":""Friday has the smallest number."",""correct"":false},{""text"":""The graph goes down from Thursday to Friday."",""correct"":false}]","Nice thinking! Tuesday and Wednesday are both 8, so the line stays flat there. The other sentences do not match the numbers.","{""questionNumber"":""Q2"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Bar Charts & Line Graphs"",""learning_objective"":""Students can interpret data and identify trends in a line graph"",""focus"":""identify a simple trend description""}"
3,tddi6yl9-sbclgs7qx-lscid185c-q3-mcq,Q3,mcq,"A bunny tracked carrots found on a little adventure. The line graph values are 3, 6, 5, 7, 9 from Monday to Friday. Pick the day with 7 carrots.",Maths,4,Data Display & Interpretation,Bar Charts & Line Graphs,Students can interpret data and identify trends in a line graph,Knowing,easy,1,"MCQ for Grade 4 Data Display & Interpretation: Bar Charts & Line Graphs, aligned to Students can interpret data and identify trends in a line graph.","[{""text"":""Tuesday"",""correct"":false},{""text"":""Wednesday"",""correct"":false},{""text"":""Thursday"",""correct"":true},{""text"":""Friday"",""correct"":false}]",Well done! The number 7 is on Thursday. You matched the day to the value correctly.,"{""questionNumber"":""Q3"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Bar Charts & Line Graphs"",""learning_objective"":""Students can interpret data and identify trends in a line graph"",""focus"":""read a specific value from a line graph""}"
4,tddi6yl9-sbclgs7qx-lscid185c-q4-mcq,Q4,mcq,"Decide which comparison is correct for this line graph of stickers collected over four days: 6, 9, 4, 8.",Maths,4,Data Display & Interpretation,Bar Charts & Line Graphs,Students can interpret data and identify trends in a line graph,Understanding,easy,1,"MCQ for Grade 4 Data Display & Interpretation: Bar Charts & Line Graphs, aligned to Students can interpret data and identify trends in a line graph.","[{""text"":""Day 2 has fewer stickers than Day 4."",""correct"":false},{""text"":""Day 3 has more stickers than Day 1."",""correct"":false},{""text"":""Day 2 has more stickers than Day 1."",""correct"":true},{""text"":""Day 4 has fewer stickers than Day 3."",""correct"":false}]","Super job! Day 2 is 9 and Day 1 is 6, so Day 2 has more stickers. The other comparisons do not match the graph values.","{""questionNumber"":""Q4"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Bar Charts & Line Graphs"",""learning_objective"":""Students can interpret data and identify trends in a line graph"",""focus"":""compare two values on a line graph""}"
5,tddi6yl9-sbclgs7qx-lscid185c-q5-mcq,Q5,mcq,"Choose the equation that matches this line graph of cupcakes sold at a snack stall: Monday 2, Tuesday 5, Wednesday 7, Thursday 6, Friday 8. How many cupcakes were sold on Monday and Tuesday together?",Maths,4,Data Display & Interpretation,Bar Charts & Line Graphs,Students can interpret data and identify trends in a line graph,Applying,easy,1,"MCQ for Grade 4 Data Display & Interpretation: Bar Charts & Line Graphs, aligned to Students can interpret data and identify trends in a line graph.","[{""text"":""2 + 5 = 7"",""correct"":true},{""text"":""2 + 5 = 6"",""correct"":false},{""text"":""5 + 7 = 12"",""correct"":false},{""text"":""7 + 6 = 13"",""correct"":false}]","Excellent work! Monday is 2 and Tuesday is 5, so together they make 7. The matching equation is 2 + 5 = 7.","{""questionNumber"":""Q5"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Bar Charts & Line Graphs"",""learning_objective"":""Students can interpret data and identify trends in a line graph"",""focus"":""use a simple addition from line graph values""}"
6,tddi6yl9-sbclgs7qx-lscid185c-q6-mcq,Q6,mcq,"Look at this line graph of swings used in the playground: Monday 10, Tuesday 12, Wednesday 11, Thursday 15, Friday 14. Choose the day with the highest number.",Maths,4,Data Display & Interpretation,Bar Charts & Line Graphs,Students can interpret data and identify trends in a line graph,Knowing,easy,1,"MCQ for Grade 4 Data Display & Interpretation: Bar Charts & Line Graphs, aligned to Students can interpret data and identify trends in a line graph.","[{""text"":""Tuesday"",""correct"":false},{""text"":""Wednesday"",""correct"":false},{""text"":""Thursday"",""correct"":true},{""text"":""Friday"",""correct"":false}]","You got it! The highest number is 15, and that is on Thursday. Great careful reading of the graph data.","{""questionNumber"":""Q6"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Bar Charts & Line Graphs"",""learning_objective"":""Students can interpret data and identify trends in a line graph"",""focus"":""identify the maximum value on a line graph""}"
7,tddi6yl9-sbclgs7qx-lscid185c-q7-mcq,Q7,mcq,"Select the true statement about this line graph of sticker packs won in a game: 10, 14, 11, 16, 16. A note says, ""Because the last two values are the same, the graph has only 2 changes."" Decide which sentence is correct.",Maths,4,Data Display & Interpretation,Bar Charts & Line Graphs,Students can interpret data and identify trends in a line graph,Evaluating,hard,4,"MCQ for Grade 4 Data Display & Interpretation: Bar Charts & Line Graphs, aligned to Students can interpret data and identify trends in a line graph.","[{""text"":""The note is correct because a flat step is not a change at all."",""correct"":false},{""text"":""The note is wrong because the graph has 4 step-to-step changes: up, down, up, then flat."",""correct"":true},{""text"":""The note is correct because only increases count as changes on a line graph."",""correct"":false},{""text"":""The note is wrong because the graph has 5 changes, one for each value."",""correct"":false}]","Nice careful reading! A line graph with 5 values has 4 step-to-step changes. Here they are: up, down, up, and flat. So the note missed two changes.","{""questionNumber"":""Q7"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Bar Charts & Line Graphs"",""learning_objective"":""Students can interpret data and identify trends in a line graph"",""focus"":""find_the_error""}"
8,tddi6yl9-sbclgs7qx-lscid185c-q8-mcq,Q8,mcq,"A squirrel trail graph shows acorns collected on five days: 9, 15, 12, 18, 14. One team used Method A: compare each pair of neighboring days to find the biggest increase. Another team used Method B: subtract the first day from the last day only and use that answer as the biggest increase. Choose the best answer.",Maths,4,Data Display & Interpretation,Bar Charts & Line Graphs,Students can interpret data and identify trends in a line graph,Evaluating,hard,4,"MCQ for Grade 4 Data Display & Interpretation: Bar Charts & Line Graphs, aligned to Students can interpret data and identify trends in a line graph.","[{""text"":""Method A is correct, and the biggest increase is 6."",""correct"":true},{""text"":""Method B is correct, and the biggest increase is 5."",""correct"":false},{""text"":""Both methods are correct because they both use subtraction."",""correct"":false},{""text"":""Neither method is correct because line graphs cannot show increases."",""correct"":false}]","You did a smart graph check! The step changes are +6, -3, +6, and -4. The biggest increase is 6, so Method A works. Method B only compares the first and last days, so it does not show the biggest step.","{""questionNumber"":""Q8"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Bar Charts & Line Graphs"",""learning_objective"":""Students can interpret data and identify trends in a line graph"",""focus"":""compare_methods""}"
9,tddi6yl9-sbclgs7qx-lscid185c-q9-mcq,Q9,mcq,"Compare the days on this line graph of comic books read: Monday 4, Tuesday 6, Wednesday 3, Thursday 8, Friday 5. Decide which day had the fewest books.",Maths,4,Data Display & Interpretation,Bar Charts & Line Graphs,Students can interpret data and identify trends in a line graph,Understanding,easy,1,"MCQ for Grade 4 Data Display & Interpretation: Bar Charts & Line Graphs, aligned to Students can interpret data and identify trends in a line graph.","[{""text"":""Monday"",""correct"":false},{""text"":""Tuesday"",""correct"":false},{""text"":""Wednesday"",""correct"":true},{""text"":""Friday"",""correct"":false}]","Wonderful! Wednesday has 3 books, and that is the smallest number.","{""questionNumber"":""Q9"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Bar Charts & Line Graphs"",""learning_objective"":""Students can interpret data and identify trends in a line graph"",""focus"":""identify lowest value on a line graph""}"
10,tddi6yl9-sbclgs7qx-lscid185c-q10-mcq,Q10,mcq,"Choose the answer that matches this line graph of shells found at the beach: Monday 2, Tuesday 5, Wednesday 5, Thursday 6, Friday 4. The graph from Tuesday to Wednesday shows...",Maths,4,Data Display & Interpretation,Bar Charts & Line Graphs,Students can interpret data and identify trends in a line graph,Understanding,easy,1,"MCQ for Grade 4 Data Display & Interpretation: Bar Charts & Line Graphs, aligned to Students can interpret data and identify trends in a line graph.","[{""text"":""an increase"",""correct"":false},{""text"":""a decrease"",""correct"":false},{""text"":""no change"",""correct"":true},{""text"":""the lowest point"",""correct"":false}]","Great work! Tuesday and Wednesday are both 5, so there is no change.","{""questionNumber"":""Q10"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":4,""topic"":""Data Display & Interpretation"",""subtopic"":""Bar Charts & Line Graphs"",""learning_objective"":""Students can interpret data and identify trends in a line graph"",""focus"":""identify no change on a line graph""}"
