rowNumber,queueId,questionNumber,questionType,questionText,subject,grade_level,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,explanation,generationMetadata,grade
1,ptg6-topicnsgfpf3-tnn55xv-q1-mcq-1,Q1,mcq,Which list shows the numbers in order from least to greatest?,Maths,6,Negative numbers,Positive and negative numbers on a number line.,Students can identify positive and negative numbers. Students can place positive and negative numbers on a number line. Students can compare positive and negative numbers.,Understanding,easy,1,"MCQ for Negative numbers: Positive and negative numbers on a number line., aligned to Students can identify positive and negative numbers. Students can place positive and negative numbers on a number line. Students can compare positive and negative numbers..","[{""text"":""-5, -2, 0, 3"",""correct"":true},{""text"":""-2, -5, 0, 3"",""correct"":false},{""text"":""0, -2, -5, 3"",""correct"":false},{""text"":""3, 0, -2, -5"",""correct"":false}]","The correct order is -5, -2, 0, 3 because numbers farther left on a number line are smaller. Negative numbers are less than 0, and among negative numbers, the one with the greater absolute value is smaller.","{""placementTestTopicId"":""number_sense-g6"",""questionNumber"":""Q1"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":6,""topic"":""Negative numbers"",""subtopic"":""Positive and negative numbers on a number line."",""generationTopic"":""Negative numbers"",""generationSubtopic"":""Positive and negative numbers on a number line."",""learning_objective"":""Students can identify positive and negative numbers. Students can place positive and negative numbers on a number line. Students can compare positive and negative numbers."",""focus"":""Comparing positive and negative numbers on a number line"",""planner"":{""packId"":""number_sense-g6-mcq""}}",6
2,ptg6-topicnsgfpf3-tnn55xv-q2-fitb-1,Q2,fitb,"On a number line, the number 4 units to the left of -2 is ____.",Maths,6,Negative numbers,Positive and negative numbers on a number line.,Students can identify positive and negative numbers. Students can place positive and negative numbers on a number line. Students can compare positive and negative numbers.,Applying,medium,3,"FITB for Negative numbers: Positive and negative numbers on a number line., aligned to Students can identify positive and negative numbers. Students can place positive and negative numbers on a number line. Students can compare positive and negative numbers..",[],"Starting at -2 and moving 4 units left gives -3, -4, -5, and -6. So the missing number is -6.","{""placementTestTopicId"":""number_sense-g6"",""questionNumber"":""Q2"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":6,""topic"":""Negative numbers"",""subtopic"":""Positive and negative numbers on a number line."",""generationTopic"":""Negative numbers"",""generationSubtopic"":""Positive and negative numbers on a number line."",""learning_objective"":""Students can identify positive and negative numbers. Students can place positive and negative numbers on a number line. Students can compare positive and negative numbers."",""focus"":""locating a negative number by moving left on a number line"",""payload"":{""answer"":""-6"",""acceptableAnswers"":[""-6""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""number_sense-g6-fitb""}}",6
3,ptg6-topicnsgfpf3-tnn55xv-q3-drag_drop-1,Q3,drag_drop,Put the numbers in order from least to greatest on the number line.,Maths,6,Negative numbers,Positive and negative numbers on a number line.,Students can identify positive and negative numbers. Students can place positive and negative numbers on a number line. Students can compare positive and negative numbers.,Analyzing,hard,4,"DRAG_DROP for Negative numbers: Positive and negative numbers on a number line., aligned to Students can identify positive and negative numbers. Students can place positive and negative numbers on a number line. Students can compare positive and negative numbers..",[],"Numbers farther left on a number line are less. Among negative numbers, the one with the greater absolute value is smaller. So the order is -9, -3, 0, 4, 7.","{""placementTestTopicId"":""number_sense-g6"",""questionNumber"":""Q3"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":6,""topic"":""Negative numbers"",""subtopic"":""Positive and negative numbers on a number line."",""generationTopic"":""Negative numbers"",""generationSubtopic"":""Positive and negative numbers on a number line."",""learning_objective"":""Students can identify positive and negative numbers. Students can place positive and negative numbers on a number line. Students can compare positive and negative numbers."",""focus"":""Ordering positive and negative integers from least to greatest"",""payload"":{""mode"":""order"",""items"":[{""id"":""item_1"",""label"":""-3""},{""id"":""item_2"",""label"":""7""},{""id"":""item_3"",""label"":""0""},{""id"":""item_4"",""label"":""-9""},{""id"":""item_5"",""label"":""4""}],""targets"":[{""id"":""target_1"",""label"":""1""},{""id"":""target_2"",""label"":""2""},{""id"":""target_3"",""label"":""3""},{""id"":""target_4"",""label"":""4""},{""id"":""target_5"",""label"":""5""}],""answerKey"":[{""itemId"":""item_4"",""targetId"":""target_1""},{""itemId"":""item_1"",""targetId"":""target_2""},{""itemId"":""item_3"",""targetId"":""target_3""},{""itemId"":""item_5"",""targetId"":""target_4""},{""itemId"":""item_2"",""targetId"":""target_5""}],""labels"":{""start"":""Least"",""end"":""Greatest"",""instruction"":""Drag each number into the correct position.""}},""planner"":{""packId"":""number_sense-g6-drag_drop""}}",6
4,ptg5-topicnsgfpf3-td9cpb-q4-mcq-1,Q4,mcq,Which decimal is greater than 0.4?,Maths,5,Negative numbers,Positive and negative numbers on a number line.,Students can compare decimals. Students can identify tenths and hundredths. Students can convert simple fractions to decimals.,Understanding,easy,1,"MCQ for Decimals: Comparing decimals; tenths, hundredths; fraction to decimal., aligned to Students can compare decimals. Students can identify tenths and hundredths. Students can convert simple fractions to decimals..","[{""text"":""0.39"",""correct"":false},{""text"":""0.4"",""correct"":false},{""text"":""0.45"",""correct"":true},{""text"":""0.08"",""correct"":false}]","0.45 is greater than 0.4 because 0.4 = 0.40, and 45 hundredths is more than 40 hundredths. The other options are equal to or less than 0.40.","{""placementTestTopicId"":""number_sense-g5"",""questionNumber"":""Q4"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Negative numbers"",""subtopic"":""Positive and negative numbers on a number line."",""generationTopic"":""Decimals"",""generationSubtopic"":""Comparing decimals; tenths, hundredths; fraction to decimal."",""learning_objective"":""Students can compare decimals. Students can identify tenths and hundredths. Students can convert simple fractions to decimals."",""focus"":""Compare decimals to tenths and hundredths"",""planner"":{""packId"":""number_sense-g5-mcq""}}",6
5,ptg5-topicnsgfpf3-td9cpb-q5-mcq-2,Q5,mcq,Which pair shows a fraction and its matching decimal?,Maths,5,Negative numbers,Positive and negative numbers on a number line.,Students can compare decimals. Students can identify tenths and hundredths. Students can convert simple fractions to decimals.,Applying,medium,3,"MCQ for Decimals: Comparing decimals; tenths, hundredths; fraction to decimal., aligned to Students can compare decimals. Students can identify tenths and hundredths. Students can convert simple fractions to decimals..","[{""text"":""1/2 = 0.2"",""correct"":false},{""text"":""3/10 = 0.3"",""correct"":true},{""text"":""7/100 = 0.7"",""correct"":false},{""text"":""9/10 = 0.09"",""correct"":false}]","3/10 = 0.3 because three tenths is written as 0.3. A common mistake is confusing tenths with hundredths, such as writing 3/10 as 0.03.","{""placementTestTopicId"":""number_sense-g5"",""questionNumber"":""Q5"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Negative numbers"",""subtopic"":""Positive and negative numbers on a number line."",""generationTopic"":""Decimals"",""generationSubtopic"":""Comparing decimals; tenths, hundredths; fraction to decimal."",""learning_objective"":""Students can compare decimals. Students can identify tenths and hundredths. Students can convert simple fractions to decimals."",""focus"":""Convert simple fractions to decimals"",""planner"":{""packId"":""number_sense-g5-mcq""}}",6
6,ptg6-topicog1ja3-tooo15r3-q6-mcq-1,Q6,mcq,What is the value of 18 - 3 × 4?,Maths,6,Order of operations,Solving steps in the right order using BODMAS.,Students can apply the order of operations. Students can solve expressions using BODMAS. Students can identify mistakes caused by doing operations in the wrong order.,Applying,easy,2,"MCQ for Order of operations: Solving steps in the right order using BODMAS., aligned to Students can apply the order of operations. Students can solve expressions using BODMAS. Students can identify mistakes caused by doing operations in the wrong order..","[{""text"":""6"",""correct"":true},{""text"":""60"",""correct"":false},{""text"":""48"",""correct"":false},{""text"":""12"",""correct"":false}]","Using BODMAS, do multiplication before subtraction: 3 × 4 = 12, then 18 - 12 = 6. A common mistake is to subtract first and get 15 × 4 = 60, which is not correct.","{""placementTestTopicId"":""operations-g6"",""questionNumber"":""Q6"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":6,""topic"":""Order of operations"",""subtopic"":""Solving steps in the right order using BODMAS."",""generationTopic"":""Order of operations"",""generationSubtopic"":""Solving steps in the right order using BODMAS."",""learning_objective"":""Students can apply the order of operations. Students can solve expressions using BODMAS. Students can identify mistakes caused by doing operations in the wrong order."",""focus"":""Apply BODMAS by multiplying before subtracting."",""planner"":{""packId"":""operations-g6-mcq""}}",6
7,ptg6-topicog1ja3-tooo15r3-q7-fitb-1,Q7,fitb,"When the expression 18 - 3 × 4 is solved using BODMAS, the value is ____.",Maths,6,Order of operations,Solving steps in the right order using BODMAS.,Students can apply the order of operations. Students can solve expressions using BODMAS. Students can identify mistakes caused by doing operations in the wrong order.,Applying,medium,3,"FITB for Order of operations: Solving steps in the right order using BODMAS., aligned to Students can apply the order of operations. Students can solve expressions using BODMAS. Students can identify mistakes caused by doing operations in the wrong order..",[],"Using BODMAS, do multiplication before subtraction. First, 3 × 4 = 12. Then 18 - 12 = 6.","{""placementTestTopicId"":""operations-g6"",""questionNumber"":""Q7"",""questionType"":""fitb"",""subject"":""Maths"",""grade"":6,""topic"":""Order of operations"",""subtopic"":""Solving steps in the right order using BODMAS."",""generationTopic"":""Order of operations"",""generationSubtopic"":""Solving steps in the right order using BODMAS."",""learning_objective"":""Students can apply the order of operations. Students can solve expressions using BODMAS. Students can identify mistakes caused by doing operations in the wrong order."",""focus"":""Apply multiplication before subtraction in a numerical expression."",""payload"":{""answer"":""6"",""acceptableAnswers"":[""6""],""caseSensitive"":false,""hint"":null},""planner"":{""packId"":""operations-g6-fitb""}}",6
8,ptg6-topicog1ja3-tooo15r3-q8-drag_drop-1,Q8,drag_drop,Drag the steps into the correct order to solve 18 - 3 × (4 + 2).,Maths,6,Order of operations,Solving steps in the right order using BODMAS.,Students can apply the order of operations. Students can solve expressions using BODMAS. Students can identify mistakes caused by doing operations in the wrong order.,Applying,hard,4,"DRAG_DROP for Order of operations: Solving steps in the right order using BODMAS., aligned to Students can apply the order of operations. Students can solve expressions using BODMAS. Students can identify mistakes caused by doing operations in the wrong order..",[],"Use BODMAS: do the brackets first, so 4 + 2 = 6. Then multiply: 3 × 6 = 18. Finally subtract: 18 - 18 = 0. The correct order is 4 + 2 = 6, then 3 × 6 = 18, then 18 - 18 = 0.","{""placementTestTopicId"":""operations-g6"",""questionNumber"":""Q8"",""questionType"":""drag_drop"",""subject"":""Maths"",""grade"":6,""topic"":""Order of operations"",""subtopic"":""Solving steps in the right order using BODMAS."",""generationTopic"":""Order of operations"",""generationSubtopic"":""Solving steps in the right order using BODMAS."",""learning_objective"":""Students can apply the order of operations. Students can solve expressions using BODMAS. Students can identify mistakes caused by doing operations in the wrong order."",""focus"":""Applying BODMAS by sequencing brackets, multiplication, and subtraction steps correctly."",""payload"":{""mode"":""order"",""items"":[{""id"":""item_1"",""label"":""3 × 6 = 18""},{""id"":""item_2"",""label"":""18 - 18 = 0""},{""id"":""item_3"",""label"":""4 + 2 = 6""}],""targets"":[{""id"":""target_1"",""label"":""Step 1""},{""id"":""target_2"",""label"":""Step 2""},{""id"":""target_3"",""label"":""Step 3""}],""answerKey"":[{""itemId"":""item_3"",""targetId"":""target_1""},{""itemId"":""item_1"",""targetId"":""target_2""},{""itemId"":""item_2"",""targetId"":""target_3""}],""labels"":{""start"":""First"",""end"":""Last"",""instruction"":""Drag each step into the correct order.""}},""planner"":{""packId"":""operations-g6-drag_drop""}}",6
9,ptg5-topicog1ja3-tbmad10pm-q9-mcq-1,Q9,mcq,What is 324 × 16?,Maths,5,Order of operations,Solving steps in the right order using BODMAS.,Students can multiply a 3-digit number by a 2-digit number. Students can solve long division problems with remainders. Students can interpret remainders in division problems.,Applying,easy,2,"MCQ for Bigger multiplication and division: 3-digit x 2-digit multiplication; long division with remainders., aligned to Students can multiply a 3-digit number by a 2-digit number. Students can solve long division problems with remainders. Students can interpret remainders in division problems..","[{""text"":""5,184"",""correct"":true},{""text"":""4,864"",""correct"":false},{""text"":""5,024"",""correct"":false},{""text"":""5,944"",""correct"":false}]","The correct answer is 5,184 because 324 × 16 = 324 × (10 + 6) = 3,240 + 1,944 = 5,184. A common mistake is adding or multiplying only one part, which can lead to choices like 4,864 or 5,024.","{""placementTestTopicId"":""operations-g5"",""questionNumber"":""Q9"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Order of operations"",""subtopic"":""Solving steps in the right order using BODMAS."",""generationTopic"":""Bigger multiplication and division"",""generationSubtopic"":""3-digit x 2-digit multiplication; long division with remainders."",""learning_objective"":""Students can multiply a 3-digit number by a 2-digit number. Students can solve long division problems with remainders. Students can interpret remainders in division problems."",""focus"":""Multiply a 3-digit number by a 2-digit number using place value or standard algorithm."",""planner"":{""packId"":""operations-g5-mcq""}}",6
10,ptg5-topicog1ja3-tbmad10pm-q10-mcq-2,Q10,mcq,A baker packs 97 muffins into boxes that hold 8 muffins each. Which answer correctly shows how many full boxes can be filled and what the remainder means?,Maths,5,Order of operations,Solving steps in the right order using BODMAS.,Students can multiply a 3-digit number by a 2-digit number. Students can solve long division problems with remainders. Students can interpret remainders in division problems.,Understanding,medium,3,"MCQ for Bigger multiplication and division: 3-digit x 2-digit multiplication; long division with remainders., aligned to Students can multiply a 3-digit number by a 2-digit number. Students can solve long division problems with remainders. Students can interpret remainders in division problems..","[{""text"":""12 full boxes, with 1 muffin left over"",""correct"":true},{""text"":""12 full boxes, with 5 muffins left over"",""correct"":false},{""text"":""13 full boxes, with 1 muffin left over"",""correct"":false},{""text"":""11 full boxes, with 9 muffins left over"",""correct"":false}]","The correct answer is 12 full boxes with 1 muffin left over because 97 ÷ 8 = 12 remainder 1. Since each box must hold 8 muffins, 12 boxes can be completely filled, and 1 muffin does not make another full box. A common mistake is to round up to 13 full boxes, but that would require more muffins than are available.","{""placementTestTopicId"":""operations-g5"",""questionNumber"":""Q10"",""questionType"":""mcq"",""subject"":""Maths"",""grade"":5,""topic"":""Order of operations"",""subtopic"":""Solving steps in the right order using BODMAS."",""generationTopic"":""Bigger multiplication and division"",""generationSubtopic"":""3-digit x 2-digit multiplication; long division with remainders."",""learning_objective"":""Students can multiply a 3-digit number by a 2-digit number. Students can solve long division problems with remainders. Students can interpret remainders in division problems."",""focus"":""Solve division with remainder and interpret the remainder in context."",""planner"":{""packId"":""operations-g5-mcq""}}",6
