id,main_db_topic_id,subject_id,subject_label,name,grade,class_level,level_tag,topic_family,classes,last_synced_at,status,created_at,updated_at
1,257,1,math,Sorting & Classification,grade kg,,Starter,Sorting & Classification,3,"""2026-05-21T10:19:19.407Z""",active,"""2026-05-21T10:15:43.916Z""","""2026-05-21T10:19:19.408Z"""
2,258,1,math,Numbers 0-5,grade kg,,Starter,Number Sense,4,"""2026-05-21T10:19:19.447Z""",active,"""2026-05-21T10:15:43.953Z""","""2026-05-21T10:19:19.447Z"""
3,259,1,math,Numbers 6-10,grade kg,,Beginner,Number Sense,4,"""2026-05-21T10:19:19.510Z""",active,"""2026-05-21T10:15:44.007Z""","""2026-05-21T10:19:19.510Z"""
4,260,1,math,Comparing Numbers,grade kg,,Starter,Number Sense,3,"""2026-05-21T10:19:19.547Z""",active,"""2026-05-21T10:15:44.066Z""","""2026-05-21T10:19:19.548Z"""
5,261,1,math,2D Shapes,grade kg,,Starter,Geometry,3,"""2026-05-21T10:19:19.607Z""",active,"""2026-05-21T10:15:44.121Z""","""2026-05-21T10:19:19.607Z"""
6,262,1,math,3D Shapes,grade kg,,Starter,Geometry,3,"""2026-05-21T10:19:19.644Z""",active,"""2026-05-21T10:15:44.166Z""","""2026-05-21T10:19:19.644Z"""
7,263,1,math,Position & Direction,grade kg,,Starter,Geometry,2,"""2026-05-21T10:19:19.758Z""",active,"""2026-05-21T10:15:44.300Z""","""2026-05-21T10:19:19.758Z"""
8,264,1,math,Composing Numbers to 10,grade kg,,Starter,Number Operations,4,"""2026-05-21T10:19:19.828Z""",active,"""2026-05-21T10:15:44.569Z""","""2026-05-21T10:19:19.829Z"""
9,265,1,math,Introduction to Addition,grade kg,,Starter,Addition & Subtraction,5,"""2026-05-21T10:19:19.870Z""",active,"""2026-05-21T10:15:44.604Z""","""2026-05-21T10:19:19.871Z"""
10,266,1,math,Introduction to Subtraction,grade kg,,Starter,Addition & Subtraction,5,"""2026-05-21T10:19:19.911Z""",active,"""2026-05-21T10:15:44.640Z""","""2026-05-21T10:19:19.911Z"""
11,267,1,math,Numbers 11-20,grade kg,,Elementary,Number Sense,4,"""2026-05-21T10:19:20.377Z""",active,"""2026-05-21T10:15:44.679Z""","""2026-05-21T10:19:20.378Z"""
12,268,1,math,Composing Numbers to 20,grade kg,,Beginner,Number Operations,4,"""2026-05-21T10:19:20.473Z""",active,"""2026-05-21T10:15:44.806Z""","""2026-05-21T10:19:20.473Z"""
13,269,1,math,Introduction to Measurement,grade kg,,Starter,Measurement,3,"""2026-05-21T10:19:20.558Z""",active,"""2026-05-21T10:15:44.844Z""","""2026-05-21T10:19:20.558Z"""
14,270,1,math,Numbers to 50,grade kg,,Intermediate,Number Sense,3,"""2026-05-21T10:19:20.592Z""",active,"""2026-05-21T10:15:44.882Z""","""2026-05-21T10:19:20.592Z"""
15,271,1,math,Numbers to 100,grade kg,,Advanced,Number Sense,3,"""2026-05-21T10:19:20.901Z""",active,"""2026-05-21T10:15:44.939Z""","""2026-05-21T10:19:20.902Z"""
16,272,1,math,Introduction to Time,grade kg,,Starter,Time,3,"""2026-05-21T10:19:20.968Z""",active,"""2026-05-21T10:15:44.983Z""","""2026-05-21T10:19:20.968Z"""
17,273,1,math,Introduction to Money,grade kg,,Starter,Financial Literacy,3,"""2026-05-21T10:19:21.055Z""",active,"""2026-05-21T10:15:45.017Z""","""2026-05-21T10:19:21.055Z"""
18,274,1,math,Early Mathematical Concepts,grade kg,,Starter,Foundational Skills,2,"""2026-05-21T10:19:21.090Z""",active,"""2026-05-21T10:15:45.051Z""","""2026-05-21T10:19:21.090Z"""
19,275,1,math,Place Value to 99,grade 1,,Beginner,Place Value,5,"""2026-05-21T10:19:21.154Z""",active,"""2026-05-21T10:15:45.089Z""","""2026-05-21T10:19:21.154Z"""
20,276,1,math,Addition & Subtraction,grade 1,,Beginner,Addition & Subtraction,6,"""2026-05-21T10:19:21.189Z""",active,"""2026-05-21T10:15:45.149Z""","""2026-05-21T10:19:21.190Z"""
21,277,1,math,Introduction to Multiplication,grade 1,,Starter,Multiplication & Division,3,"""2026-05-21T10:19:21.351Z""",active,"""2026-05-21T10:15:45.197Z""","""2026-05-21T10:19:21.351Z"""
22,278,1,math,Telling Time,grade 1,,Beginner,Time,3,"""2026-05-21T10:19:21.388Z""",active,"""2026-05-21T10:15:45.334Z""","""2026-05-21T10:19:21.388Z"""
23,279,1,math,Shapes & Repeating Patterns,grade 1,,Beginner,Geometry,4,"""2026-05-21T10:19:21.448Z""",active,"""2026-05-21T10:15:45.396Z""","""2026-05-21T10:19:21.449Z"""
24,280,1,math,Length & Measurement,grade 1,,Beginner,Measurement,3,"""2026-05-21T10:19:21.494Z""",active,"""2026-05-21T10:15:45.462Z""","""2026-05-21T10:19:21.494Z"""
25,281,1,math,Data & Graphs,grade 1,,Beginner,Data & Statistics,3,"""2026-05-21T10:19:21.582Z""",active,"""2026-05-21T10:15:45.512Z""","""2026-05-21T10:19:21.583Z"""
26,282,1,math,Money & Currency,grade 1,,Beginner,Financial Literacy,3,"""2026-05-21T10:19:21.679Z""",active,"""2026-05-21T10:15:45.550Z""","""2026-05-21T10:19:21.679Z"""
27,283,1,math,Place Value to 200,grade 2,,Elementary,Place Value,5,"""2026-05-21T10:19:21.721Z""",active,"""2026-05-21T10:15:45.617Z""","""2026-05-21T10:19:21.722Z"""
